City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,monrovia,LR,2022-02-18 05:19:09,6.3005,-10.7969,77.7,85,48,4.65
282,kemin,KG,2022-02-18 05:19:10,42.7846,75.6892,33.06,67,0,9.01
283,mahibadhoo,MV,2022-02-18 05:19:10,3.7833,72.9667,81.1,69,94,6.29
284,zyryanka,RU,2022-02-18 05:19:11,65.75,150.85,-22.22,97,100,3.67
285,puerto maldonado,PE,2022-02-18 05:19:11,-12.6,-69.1833,72.0,98,77,2.62
286,winneba,GH,2022-02-18 05:19:12,5.3511,-0.6231,78.49,90,99,9.71
287,leh,IN,2022-02-18 05:19:12,34.1667,77.5833,2.32,73,45,2.1
288,coruripe,BR,2022-02-18 05:19:12,-10.1256,-36.1756,78.39,77,46,7.43
289,durusu,TR,2022-02-18 05:19:13,41.3053,28.6767,52.74,88,79,7.0
290,fairview,US,2022-02-18 05:18:06,40.8126,-73.999,60.62,87,100,21.85
291,verkhnevilyuysk,RU,2022-02-18 05:19:13,63.4453,120.3167,-10.7,89,95,4.72
292,nurota,UZ,2022-02-18 05:19:14,40.5614,65.6886,41.09,40,0,0.83
293,superior,US,2022-02-18 05:19:14,46.7208,-92.1041,-6.52,69,0,5.75
294,svetlaya,RU,2022-02-18 05:19:14,46.5389,138.3297,24.87,55,82,4.12
295,umreth,IN,2022-02-18 05:19:15,22.7,73.1167,80.58,19,6,8.43
296,port hardy,CA,2022-02-18 05:16:01,50.6996,-127.4199,44.76,93,100,3.44
297,kosh-agach,RU,2022-02-18 05:19:16,50.0,88.6667,-8.68,82,89,0.92
298,gazanjyk,TM,2022-02-18 05:19:16,39.2446,55.5154,42.35,39,0,10.54
299,fortuna,US,2022-02-18 05:19:16,40.5982,-124.1573,47.66,94,20,0.0
300,christchurch,NZ,2022-02-18 05:16:01,-43.5333,172.6333,76.48,57,18,10.36
